South_Dining_Hall	 41.699760781572174	-86.24147043536637
North_Dining_Hall	 41.70437014837382	-86.2364442805955
LaFortune	 41.70191117489054	-86.23817641779294
Basilica	 41.702233976093076	-86.23971507342385
Main_Building	 41.70258020555431	-86.23897055032573
DeBartolo_Hall	 41.69831370272931	-86.2366903408291
Notre_Dame_Stadium	 41.699501279617564	-86.23473228991755
Hesburgh_Library_Side	 41.70239708517827	-86.23473668849877
Hesburgh_Library	 41.70219366518085	-86.23413016186146
McGlinn_Hall	 41.69829764944114	-86.2424898586523
Alumni_Hall	 41.699900943856946	-86.23929903601268
Flaherty_Hall	 41.70332850891336	-86.23313476603498
Morris_Inn	 41.6981843865698	-86.23907795393022
Bookstore	 41.696540162518055	-86.23956278553996
Duncan_Student_Center	 41.69898121029417	-86.23551395664241
Grotto	 41.70306758520429	-86.24034907784774
Jordan_Hall	 41.70019136394629	-86.23185156359264
Hayes_Healey_Hall	 41.70081369838371	-86.23798014410093
Pasquerilla_Center	 41.701727856154925	-86.23166423068008
Jenkins_Nanovic_Hall	 41.69586805609035	-86.23796296302217
Fitzpatrick_Hall	 41.69959223372997	-86.2371374802066
OShaughnessey_Hall	 41.70001938119111	-86.23616269421899
Rockne_Memorial	 41.70001584718734	-86.24368922161776
Lake_Lot	 41.70028557898602	-86.24577267420236
